"plotID","siteID","plant_SR_400","plant_H_400","tree_SR_400","tree_H_400","CHM_nni_3_2512m2","pc_skew_DBH_2512m2","z_ent1_ent2_2512m2","z_1m_mode_mean_2512m2","pc_ent1_01_2512m2","z_cc_1_3_2512m2","MAT","AET","MTCM","alpha","TSeas","PSeas","latitude","longitude"
"OSBS_007","OSBS",68,1.96,5,1.357,-1.70023130474652,-0.429,1.54177997379058,12.362,0.750477814245496,0.674506040058866,206,1110,-82,26.0033836986803,5329.55410981003,39.9949890937485,29.690279,-81.962568
"OSBS_008","OSBS",67,2.314,2,0.234,-1.62849685384175,-0.226,1.56619678723785,11.581,0.73883612280407,0.642196405493579,205,1116,-81,26.0033836986803,5340.1316824653,40.9921042004843,29.685058,-82.007163
"OSBS_009","OSBS",48,2.15,9,1.848,-1.84899979837324,-0.022,1.84770630088456,15.727,0.958984810650368,0.884985547120487,206,1109,-81,26.0033836986803,5348.75286569964,40.9921042004843,29.698798,-82.017543
"OSBS_010","OSBS",28,0.64,7,1.311,-1.97984040386071,0.347,1.72700042513173,11.857,0.893941004971851,0.972456037166237,206,1111,-83,26.0033836986803,5328.23447640753,39.9949890937485,29.691764,-81.941828
"OSBS_011","OSBS",26,1.741,9,1.636,-1.93829704618714,0.484,1.73999999991124,13.577,0.898883265173787,0.931612447252732,206,1110,-82,26.0033836986803,5348.08883953715,40.9921042004843,29.721507,-81.987042
"OSBS_013","OSBS",69,2.35,2,0.358,-1.69058958757251,-0.581,1.57404100818821,12.764,0.740167982395641,0.685269558133837,205,1114,-82,25.0126291885095,5326.91541173199,39.9949890937485,29.68216,-81.961566
"OSBS_014","OSBS",54,2.727,NA,NA,-1.86597944701694,0.27,1.63823753834135,11.707,0.821241983501299,0.852000983080111,206,1109,-83,26.0033836986803,5329.55410981003,40.9921042004843,29.692719,-81.958259
"OSBS_016","OSBS",27,1.538,7,1.148,-1.82301984392411,0.066,1.78397943852289,11.228,0.871000366799949,0.789423361345673,206,1110,-83,26.0033836986803,5330.2141398654,39.9949890937485,29.682392,-81.967447
"OSBS_017","OSBS",14,1.237,NA,NA,-1.96166658291639,-0.347,1.75599892334324,14.541,0.944210086528763,0.963791657198168,206,1111,-82,26.0033836986803,5344.10768769537,40.9921042004843,29.703872,-81.991845
"OSBS_020","OSBS",24,1.004,NA,NA,-1.63310764824734,-0.422,1.56815650263269,13.483,0.780082786052099,0.637085691221639,206,1109,-83,26.0033836986803,5329.55410981003,39.9949890937485,29.686849,-81.950765
